Stock Title,Current Price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
Alphabet Inc. (GOOGL),"1,758.57","1,740.64","1,733.23","1,752.56 x 1100","1,766.06 x 1200","1,730.02 - 1,763.49","1,008.87 - 1,816.89","1,005,340","1,863,706"
JPMorgan Chase & Co. (JPM),115.46,115.25,114.18,114.56 x 800,115.51 x 1000,113.56 - 115.82,76.91 - 141.10,"10,202,538","16,790,040"
Microsoft Corporation (MSFT),212.42,211.08,211.38,212.70 x 1000,212.96 x 800,209.93 - 212.99,132.52 - 232.86,"24,792,746","32,094,900"
"Amazon.com, Inc. (AMZN)","3,117.02","3,105.46","3,105.31","3,119.50 x 1300","3,132.62 x 900","3,080.93 - 3,125.00","1,626.03 - 3,552.25","3,010,270","5,145,560"
